City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Airai,TL,61.99,light rain,-8.9266,125.4092,
2,Hithadhoo,MV,82.08,overcast clouds,-0.6,73.0833,Scoop Guest House
3,Banjar,ID,78.62,overcast clouds,-8.19,114.9675,The Hamsa Resort
4,Takoradi,GH,84.81,scattered clouds,4.8845,-1.7554,Raybow International Hotel
5,Yanam,IN,75.02,few clouds,16.7333,82.2167,The Regency Hotel
7,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
8,Barcelos,PT,53.74,light rain,41.5388,-8.6151,Hotel Do Terço
11,Rikitea,PF,73.94,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Shahapur,IN,85.14,clear sky,19.45,73.3333,OYO 68690 Hotel New Food Hub
13,Victoria,HK,76.95,broken clouds,22.2855,114.1577,Mini Central
16,Sombrio,BR,71.94,overcast clouds,-29.1139,-49.6167,Hotel e Restaurante Sao Cristovao
18,Malanville,BJ,92.08,clear sky,11.8685,3.3899,Hotel Sejour du Sahel
20,Guarapari,BR,74.89,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
21,Omboue,GA,82.45,broken clouds,-1.5746,9.2618,Hotel Olako
22,Tarauaca,BR,77.59,overcast clouds,-8.1614,-70.7656,Flat Temporada
23,Faanui,PF,78.93,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Butaritari,KI,80.46,light rain,3.0707,172.7902,Isles Sunset Lodge
25,Newport,GB,53.71,overcast clouds,51.5877,-2.9984,ibis budget Newport
26,Scarborough,GB,51.37,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
27,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
28,Lluta,PE,55.49,broken clouds,-16.0147,-72.0142,
29,Roald,NO,55.54,broken clouds,62.5833,6.1333,Flem Cabins
30,Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Shimoda,JP,58.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
33,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
34,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
37,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
40,Honiara,SB,78.08,overcast clouds,-9.4333,159.95,Heritage Park Hotel
41,Port Elizabeth,ZA,76.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
42,Auki,SB,77.29,overcast clouds,-8.7676,160.7034,Auki Motel
43,Nong Khai,TH,84.16,scattered clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
46,Jutai,BR,72.5,overcast clouds,-5.1833,-68.9,
47,Matara,LK,79.63,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
48,Biak,ID,78.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
50,Carnarvon,AU,71.55,clear sky,-24.8667,113.6333,Hospitality Carnarvon
51,Banda Aceh,ID,81.0,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
52,Busselton,AU,57.7,clear sky,-33.65,115.3333,Observatory Guest House
55,Saint-Philippe,RE,83.1,clear sky,-21.3585,55.7679,Le four à pain
59,Alenquer,BR,81.25,broken clouds,-1.9417,-54.7383,Detinha Hotel
64,Jinxiang,CN,62.56,overcast clouds,27.4327,120.6062,Wolong Village
66,Hasaki,JP,54.0,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
68,Latur,IN,77.94,clear sky,18.4,76.5833,Hotel Shivneri Durvankur Lodge
70,Isiro,CD,75.31,moderate rain,2.7739,27.616,Guest House Hewa Bora
72,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
73,Lompoc,US,50.58,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
74,Matay,EG,69.82,overcast clouds,28.419,30.7792,Nag Aespen
75,Hermanus,ZA,78.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
76,Broken Hill,AU,69.33,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
78,Falmouth,GB,54.5,mist,50.1544,-5.0711,The Falmouth Hotel
80,Kavieng,PG,83.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
