City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bluff,NZ,-46.6,168.3333,46.98,74,53,3.76,broken clouds
1,Airai,TL,-8.9266,125.4092,61.99,95,100,1.52,light rain
2,Hithadhoo,MV,-0.6,73.0833,82.08,74,95,9.48,overcast clouds
3,Banjar,ID,-8.19,114.9675,78.62,91,90,0.81,overcast clouds
4,Takoradi,GH,4.8845,-1.7554,84.81,68,29,6.89,scattered clouds
5,Yanam,IN,16.7333,82.2167,75.02,76,14,5.23,few clouds
6,Torbay,CA,47.6666,-52.7314,44.76,96,100,32.21,light rain
7,Nouadhibou,MR,20.931,-17.0347,73.38,38,0,14.97,clear sky
8,Barcelos,PT,41.5388,-8.6151,53.74,94,100,3.67,light rain
9,Karasjok,NO,69.4719,25.5112,30.97,91,98,15.41,overcast clouds
10,Hobart,AU,-42.8794,147.3294,49.86,66,20,13.8,few clouds
11,Rikitea,PF,-23.1203,-134.9692,73.94,81,89,3.38,overcast clouds
12,Shahapur,IN,19.45,73.3333,85.14,51,1,6.8,clear sky
13,Victoria,HK,22.2855,114.1577,76.95,93,77,11.01,broken clouds
14,Ushuaia,AR,-54.8,-68.3,47.86,66,20,3.44,few clouds
15,Tuatapere,NZ,-46.1333,167.6833,44.85,88,68,2.68,broken clouds
16,Sombrio,BR,-29.1139,-49.6167,71.94,91,90,11.5,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,-6.99,74,91,6.98,overcast clouds
18,Malanville,BJ,11.8685,3.3899,92.08,12,1,8.19,clear sky
19,New Norfolk,AU,-42.7826,147.0587,49.5,63,19,4.0,few clouds
20,Guarapari,BR,-20.6667,-40.4975,74.89,91,47,9.93,scattered clouds
21,Omboue,GA,-1.5746,9.2618,82.45,67,82,8.37,broken clouds
22,Tarauaca,BR,-8.1614,-70.7656,77.59,82,86,3.44,overcast clouds
23,Faanui,PF,-16.4833,-151.75,78.93,74,16,12.41,few clouds
24,Butaritari,KI,3.0707,172.7902,80.46,78,51,8.9,light rain
25,Newport,GB,51.5877,-2.9984,53.71,84,100,11.68,overcast clouds
26,Scarborough,GB,54.2797,-0.4044,51.37,87,100,5.99,overcast clouds
27,Ponta Do Sol,PT,32.6667,-17.1,75.7,66,78,1.81,broken clouds
28,Lluta,PE,-16.0147,-72.0142,55.49,51,54,2.82,broken clouds
29,Roald,NO,62.5833,6.1333,55.54,44,75,19.57,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,66.54,96,97,5.55,overcast clouds
31,Kodiak,US,57.79,-152.4072,26.74,68,51,9.73,broken clouds
32,Shimoda,JP,34.6667,138.95,58.1,79,90,11.23,overcast clouds
33,Georgetown,MY,5.4112,100.3354,78.73,93,20,4.61,few clouds
34,Praia,CV,14.9215,-23.5087,82.94,39,0,20.71,clear sky
35,Ilulissat,GL,69.2167,-51.1,9.39,81,100,4.74,overcast clouds
36,Spasskoye,RU,44.6108,132.7969,21.54,78,81,3.27,broken clouds
37,Camacha,PT,33.0833,-16.3333,69.22,60,20,8.05,few clouds
38,Punta Arenas,CL,-53.15,-70.9167,44.11,65,18,8.68,few clouds
39,Rorvik,NO,64.8621,11.2373,42.91,61,85,17.27,overcast clouds
40,Honiara,SB,-9.4333,159.95,78.08,88,97,2.35,overcast clouds
41,Port Elizabeth,ZA,-33.918,25.5701,76.1,66,75,10.36,broken clouds
42,Auki,SB,-8.7676,160.7034,77.29,86,98,4.09,overcast clouds
43,Nong Khai,TH,17.9167,103.0833,84.16,78,38,0.6,scattered clouds
44,Luangwa,ZM,-15.6167,30.4167,103.14,18,87,4.97,overcast clouds
45,Udachnyy,RU,66.4167,112.4,-11.56,75,100,5.57,overcast clouds
46,Jutai,BR,-5.1833,-68.9,72.5,99,100,0.65,overcast clouds
47,Matara,LK,5.9485,80.5353,79.63,79,79,4.32,broken clouds
48,Biak,ID,-0.9131,122.8766,78.19,82,100,1.54,overcast clouds
49,Semenivka,UA,52.1783,32.5818,32.58,100,100,6.58,light snow
50,Carnarvon,AU,-24.8667,113.6333,71.55,76,0,23.31,clear sky
51,Banda Aceh,ID,5.5577,95.3222,81.0,77,67,8.99,broken clouds
52,Busselton,AU,-33.65,115.3333,57.7,70,0,18.1,clear sky
53,Novyy Urengoy,RU,66.0833,76.6333,7.61,92,100,13.35,overcast clouds
54,Tuktoyaktuk,CA,69.4541,-133.0374,-4.4,92,100,5.55,overcast clouds
55,Saint-Philippe,RE,-21.3585,55.7679,83.1,63,0,11.74,clear sky
56,Te Anau,NZ,-45.4167,167.7167,39.09,95,53,1.5,broken clouds
57,Longyearbyen,SJ,78.2186,15.6401,26.44,74,75,3.44,broken clouds
58,Zhangye,CN,38.9342,100.4517,19.83,80,100,14.72,overcast clouds
59,Alenquer,BR,-1.9417,-54.7383,81.25,68,73,3.94,broken clouds
60,Klamath Falls,US,42.2249,-121.7817,27.88,92,84,2.55,broken clouds
61,Hofn,IS,64.2539,-15.2082,41.02,87,100,26.46,moderate rain
62,Port Hardy,CA,50.6996,-127.4199,37.58,87,100,6.91,overcast clouds
63,Albany,US,42.6001,-73.9662,42.31,70,100,2.35,overcast clouds
64,Jinxiang,CN,27.4327,120.6062,62.56,95,100,4.99,overcast clouds
65,Korla,CN,41.7597,86.1469,30.16,12,0,8.57,clear sky
66,Hasaki,JP,35.7333,140.8333,54.0,52,6,9.86,clear sky
67,Jamestown,US,42.097,-79.2353,47.71,59,100,4.0,overcast clouds
68,Latur,IN,18.4,76.5833,77.94,48,1,8.61,clear sky
69,Provideniya,RU,64.3833,-173.3,16.92,94,86,3.58,overcast clouds
70,Isiro,CD,2.7739,27.616,75.31,89,100,2.13,moderate rain
71,Macklin,CA,52.3334,-109.9348,25.14,90,76,5.23,broken clouds
72,Vaini,TO,-21.2,-175.2,75.36,100,20,0.0,few clouds
73,Lompoc,US,34.6391,-120.4579,50.58,100,100,8.05,mist
74,Matay,EG,28.419,30.7792,69.82,40,100,5.59,overcast clouds
75,Hermanus,ZA,-34.4187,19.2345,78.8,51,2,24.63,clear sky
76,Broken Hill,AU,-31.95,141.4333,69.33,35,36,21.0,scattered clouds
77,Luderitz,NA,-26.6481,15.1594,76.17,52,0,17.13,clear sky
78,Falmouth,GB,50.1544,-5.0711,54.5,82,100,8.05,mist
79,Kysyl-Syr,RU,63.8986,122.7617,-42.47,100,73,2.13,broken clouds
80,Kavieng,PG,-2.5744,150.7967,83.37,72,69,7.54,broken clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,75,9.22,broken clouds
82,Mataura,NZ,-46.1927,168.8643,41.14,97,84,1.32,broken clouds
83,Cape Town,ZA,-33.9258,18.4232,77.41,54,0,25.32,clear sky
84,Bluefields,NI,12.0137,-83.7635,74.07,95,100,4.81,overcast clouds
85,Rohatyn,UA,49.409,24.6093,33.22,82,98,7.52,overcast clouds
86,Kapaa,US,22.0752,-159.319,64.72,77,0,9.22,clear sky
87,Ostrovnoy,RU,68.0531,39.5131,24.8,78,96,26.17,overcast clouds
88,Lata,PT,40.1629,-8.3327,56.8,59,100,5.35,overcast clouds
89,Penzance,GB,50.1186,-5.5371,54.28,74,100,15.66,overcast clouds
90,Castro,BR,-24.7911,-50.0119,65.5,81,82,7.49,broken clouds
91,Saskylakh,RU,71.9167,114.0833,-8.99,100,100,2.95,overcast clouds
92,Baker City,US,44.7749,-117.8344,33.19,76,76,3.67,broken clouds
93,Hilo,US,19.7297,-155.09,69.12,91,100,3.0,overcast clouds
94,Lagoa,PT,39.05,-27.9833,60.66,61,41,16.53,scattered clouds
95,Siparia,TT,10.1333,-61.5,75.78,98,100,1.01,overcast clouds
96,Smithers,CA,54.7804,-127.1743,28.72,86,100,4.61,overcast clouds
97,Marzuq,YE,14.4,46.4667,78.53,26,33,9.86,scattered clouds
98,Cidreira,BR,-30.1811,-50.2056,72.64,83,80,14.99,broken clouds
99,Borinskoye,RU,52.4569,39.3713,35.29,81,100,10.38,light snow
100,Fortuna,US,40.5982,-124.1573,45.93,96,100,0.0,overcast clouds
101,Kavaratti,IN,10.5669,72.642,81.77,70,17,5.66,few clouds
102,Waingapu,ID,-9.6567,120.2641,81.37,77,100,2.82,overcast clouds
103,Nizhneivkino,RU,58.194,49.5214,9.68,98,42,3.6,scattered clouds
104,Nanortalik,GL,60.1432,-45.2371,31.91,81,96,3.78,overcast clouds
105,Nagato,JP,34.3833,131.2,57.07,67,100,3.49,overcast clouds
106,Veraval,IN,20.9,70.3667,78.87,46,0,9.19,clear sky
107,Alekseyevka,RU,50.6309,38.6903,34.38,98,100,9.73,overcast clouds
108,Cherskiy,RU,68.75,161.3,-35.45,100,27,1.3,scattered clouds
109,Riyadh,SA,24.6877,46.7219,86.14,20,0,7.27,clear sky
110,Holme,DK,56.1138,10.1725,45.97,95,100,14.0,overcast clouds
111,Macroom,IE,51.9,-8.95,48.27,84,82,16.8,broken clouds
112,Callaway,US,30.153,-85.5699,66.94,95,91,8.01,overcast clouds
113,Nikolskoye,RU,59.7035,30.7861,19.29,88,99,5.84,overcast clouds
114,Coihaique,CL,-45.5752,-72.0662,50.61,71,0,6.91,clear sky
115,Buchanan,LR,5.8808,-10.0467,83.95,64,14,5.23,few clouds
116,Nouakchott,MR,18.0858,-15.9785,85.93,27,0,14.16,clear sky
117,Bengkulu,ID,-3.8004,102.2655,78.62,82,90,2.42,moderate rain
118,Chuy,UY,-33.6971,-53.4616,75.15,71,32,8.21,scattered clouds
119,Port Alfred,ZA,-33.5906,26.891,66.58,82,82,11.83,light rain
120,Thompson,CA,55.7435,-97.8558,10.56,92,100,2.3,overcast clouds
121,Carrollton,US,32.9537,-96.8903,46.96,92,30,1.01,scattered clouds
122,Ust-Kuyga,RU,70.0167,135.6,-43.76,100,88,6.24,overcast clouds
123,Villa Sandino,NI,12.0483,-84.9936,69.73,96,99,4.68,overcast clouds
124,Longhua,CN,23.6137,114.1919,72.14,93,100,2.19,overcast clouds
125,Atuona,PF,-9.8,-139.0333,77.2,74,10,13.85,clear sky
126,Kretinga,LT,55.8758,21.2508,35.35,93,100,3.44,mist
127,Cabo San Lucas,MX,22.8909,-109.9124,51.1,61,0,4.21,clear sky
128,Raton,US,36.9034,-104.4391,25.81,91,89,5.32,overcast clouds
129,Codrington,AU,-38.2667,141.9667,47.07,79,73,8.77,broken clouds
130,Khatanga,RU,71.9667,102.5,-8.34,100,99,4.52,overcast clouds
131,Muros,ES,42.7762,-9.0603,58.08,94,100,9.44,light rain
132,Bambous Virieux,MU,-20.3428,57.7575,82.65,57,40,10.36,scattered clouds
133,Seoul,KR,37.5683,126.9778,49.44,51,0,1.14,clear sky
134,Pevek,RU,69.7008,170.3133,-24.84,93,22,4.0,few clouds
135,Tyulyachi,RU,55.8913,50.2399,12.78,95,48,7.76,scattered clouds
136,Ixtapa,MX,20.7,-105.2,65.23,88,21,2.66,few clouds
137,Pangnirtung,CA,66.1451,-65.7125,1.83,76,98,4.85,overcast clouds
138,Boa Vista,BR,2.8197,-60.6733,75.18,88,75,4.61,light rain
139,Popondetta,PG,-8.7537,148.2534,75.02,94,100,3.69,overcast clouds
140,Bennington,US,42.8781,-73.1968,43.25,65,90,1.5,overcast clouds
141,Raudeberg,NO,61.9875,5.1352,49.87,67,100,22.17,overcast clouds
142,Lavrentiya,RU,65.5833,-171.0,14.18,94,84,5.84,light snow
143,Barrow,US,71.2906,-156.7887,-2.18,78,100,9.22,light snow
144,Neuquen,AR,-38.9516,-68.0591,69.55,40,0,8.05,clear sky
145,Pringsewu,ID,-5.3582,104.9744,76.41,89,99,5.75,overcast clouds
146,Aklavik,CA,68.2191,-135.0107,-3.8,98,99,6.62,overcast clouds
147,Mar Del Plata,AR,-38.0023,-57.5575,76.82,97,40,5.99,scattered clouds
148,Lebu,CL,-37.6167,-73.65,61.16,66,2,9.55,clear sky
149,Huarmey,PE,-10.0681,-78.1522,66.31,88,83,5.08,broken clouds
150,Lisburn,GB,54.5234,-6.0353,51.24,75,20,16.11,few clouds
151,Geraldton,AU,-28.7667,114.6,68.41,73,1,19.57,clear sky
152,Rostovka,RU,55.3842,71.8891,-10.12,95,3,4.36,clear sky
153,Touros,BR,-5.1989,-35.4608,83.77,63,100,12.28,overcast clouds
154,Cayenne,GF,4.9333,-52.3333,75.24,100,75,0.0,broken clouds
155,Paris,FR,48.8534,2.3488,48.78,88,100,9.22,overcast clouds
156,Victoria Point,AU,-27.5833,153.3,74.44,89,98,5.01,light rain
157,Graaff-Reinet,ZA,-32.2522,24.5308,70.92,54,43,11.23,scattered clouds
158,Vardo,NO,70.3705,31.1107,30.18,86,100,21.85,overcast clouds
159,Bathsheba,BB,13.2167,-59.5167,83.01,74,75,23.02,light rain
160,Mamallapuram,IN,12.6264,80.1722,84.25,76,93,11.61,overcast clouds
161,Dwarka,IN,22.2394,68.9678,79.59,32,0,10.18,clear sky
162,Novoagansk,RU,61.9449,76.6625,-2.94,91,100,9.4,overcast clouds
163,Elko,US,41.0002,-115.5012,19.63,89,95,1.99,overcast clouds
164,Nago,JP,26.5881,127.9761,73.45,70,75,13.51,broken clouds
165,Linxia,CN,35.6003,103.2064,43.05,35,84,6.11,broken clouds
166,Esna,EG,25.2934,32.554,77.02,22,72,2.44,broken clouds
167,Znin,PL,52.8496,17.7199,44.13,84,99,3.91,overcast clouds
168,Fukue,JP,32.6881,128.8419,64.2,60,100,8.12,overcast clouds
169,Yar-Sale,RU,66.8333,70.8333,-0.24,94,70,7.47,broken clouds
170,Bredasdorp,ZA,-34.5322,20.0403,73.47,46,12,17.18,few clouds
171,Kirakira,SB,-10.4544,161.9205,79.74,83,94,4.32,overcast clouds
172,Jiuquan,CN,39.7432,98.5174,13.95,80,98,5.28,overcast clouds
173,Jumla,NP,29.2747,82.1838,47.53,63,7,0.74,clear sky
174,Pathein,MM,16.7833,94.7333,77.81,89,100,5.55,overcast clouds
175,Ribeira Grande,PT,38.5167,-28.7,63.77,59,20,16.11,few clouds
176,Camacupa,AO,-12.0167,17.4833,65.17,86,100,3.2,overcast clouds
177,Qujing,CN,25.4833,103.7833,60.58,52,0,16.78,clear sky
178,Yellowknife,CA,62.456,-114.3525,10.92,85,100,8.05,light snow
179,Iberia,US,29.9502,-91.7507,51.96,78,0,7.18,clear sky
180,Teguise,ES,29.0605,-13.564,75.42,53,0,13.8,clear sky
181,San Cristobal,VE,7.7669,-72.225,64.58,93,100,0.69,overcast clouds
182,Krasnoselkup,RU,65.7,82.4667,6.98,96,100,12.48,light snow
183,Ellensburg,US,46.9965,-120.5479,40.37,91,54,1.01,broken clouds
184,Champerico,GT,14.3,-91.9167,76.51,83,78,4.09,broken clouds
185,Namibe,AO,-15.1961,12.1522,75.22,75,69,9.98,broken clouds
186,Carahue,CL,-38.7,-73.1667,65.52,44,0,2.98,clear sky
187,Bahia Honda,CU,22.9036,-83.1592,73.0,91,75,3.6,broken clouds
188,Turukhansk,RU,65.8167,87.9833,-8.75,98,100,10.74,light snow
189,Saurimo,AO,-9.6608,20.3916,65.17,97,100,4.09,light rain
190,Vilhena,BR,-12.7406,-60.1458,80.04,52,87,1.41,overcast clouds
191,Saint Anthony,US,45.0205,-93.218,34.09,86,0,8.05,clear sky
192,Potam,MX,27.6,-110.3833,58.17,32,5,3.89,clear sky
193,Norman Wells,CA,65.282,-126.8329,5.63,93,100,11.01,overcast clouds
194,Altay,CN,47.8667,88.1167,-17.43,66,3,7.18,clear sky
195,Mvuma,ZW,-19.2792,30.5283,68.77,72,100,3.09,light rain
196,Iqaluit,CA,63.7506,-68.5145,7.7,65,100,17.0,overcast clouds
197,Mahebourg,MU,-20.4081,57.7,81.25,61,4,11.34,clear sky
198,Grindavik,IS,63.8424,-22.4338,39.67,87,75,25.32,broken clouds
199,Narsaq,GL,60.9167,-46.05,32.22,95,100,3.29,overcast clouds
200,Gat,IL,31.61,34.7642,71.78,28,100,2.53,overcast clouds
201,Xinyu,CN,27.8043,114.9334,66.11,97,97,0.89,light rain
202,Tiksi,RU,71.6872,128.8694,-25.6,98,100,7.92,overcast clouds
203,Stillwater,US,36.1156,-97.0584,46.56,90,100,1.01,overcast clouds
204,East London,ZA,-33.0153,27.9116,63.93,91,100,5.3,light rain
